job_id,job_title,role,job_description,skills,responsibilities,tfidf_score,bm25_score,classical_score,transformer_score,hybrid_score,candidate,fit_label,top_gap_summary
2808730603865187,Software Engineer,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend.",0.0374,0.6206,0.329,0.5713,0.5836,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
307807279084266,Java Developer,Java Web Application Developer,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation","Focus on developing Java-based web applications, including frontend and backend components. Create user interfaces and integrate with databases. Ensure web application security and performance.",0.0746,1.0,0.5373,0.3956,0.5769,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
1536525374644040,Java Developer,Java Backend Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Develop server-side applications and APIs using Java and related technologies. Optimize application performance and scalability. Implement security measures and authentication systems.,0.0637,0.6723,0.368,0.521,0.5702,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
2186900534995749,Web Developer,Backend Web Developer,"Backend Web Developers build and maintain the server-side logic and infrastructure required for web applications. They work on data storage, APIs, and server communication to support the functionality of web applications.","Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)",Develop server-side logic and databases to support web applications. Optimize application performance and security. Implement RESTful APIs for data retrieval and manipulation.,0.0399,0.4584,0.2492,0.5892,0.5516,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
1662109777348888,Systems Engineer,Cloud Systems Engineer,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability","Focus on cloud computing solutions, including AWS or Azure. Design, deploy, and manage cloud-based infrastructure and services. Optimize cloud resources and cost efficiency.",0.0786,0.6822,0.3804,0.4661,0.5387,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
398454096642776,Web Developer,Frontend Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)","Design and code user interfaces for websites, ensuring a seamless and visually appealing user experience. Collaborate with UX designers to optimize user journeys. Ensure cross-browser compatibility and responsive design.",0.0408,0.6807,0.3607,0.4748,0.5338,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
2196143094425783,Web Developer,Full-Stack Developer,"Full-Stack Developers are skilled in both frontend and backend development. They can work on all aspects of web application development, from creating user interfaces to designing databases and server infrastructure, providing end-to-end solutions.",Frontend and backend development Database integration Problem-solving API knowledge,"Work on both frontend and backend aspects, creating full-stack solutions for web development. Integrate third-party APIs and services. Troubleshoot and debug web applications.",0.038,0.4441,0.2411,0.5187,0.4977,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
1472327045419647,Web Designer,Frontend Web Designer,"Frontend Web Designers create the visual elements and user interfaces of websites. They use HTML, CSS, and JavaScript to design responsive, user-friendly web pages, ensuring a seamless and visually appealing online experience.",Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,"Create visually appealing and responsive web designs using HTML, CSS, and JavaScript. Ensure cross-browser compatibility. Optimize web performance and page load times.",0.0367,0.5488,0.2928,0.4132,0.4527,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
1092152760580591,Front-End Developer,UI/UX Developer,A UI/UX Developer combines design and technical skills to create user-friendly interfaces for digital products. They ensure a seamless and visually appealing user experience.,"User interface (UI) design User experience (UX) design Web design principles Prototyping and wireframing Front-end development languages (e.g., HTML, CSS, JavaScript) Interaction design User testing Responsive design Usability testing Collaboration Attention to detail",Design and implement user interfaces (UI) for websites and web applications. Create intuitive and visually appealing UI elements. Collaborate with UX designers to optimize user experiences.,0.0433,0.6286,0.3359,0.3456,0.4295,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
1355325262915901,UI Developer,Front-End Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience.",0.0451,0.2417,0.1434,0.4593,0.4016,Alice – Python Backend,Potential Fit,2/7 skills matched | 0 partial | 5 missing | Fit score: 29%
1140429647542292,Data Scientist,Machine Learning Engineer,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,Develop machine learning models and algorithms for data analysis and prediction. Preprocess and clean data for model training. Evaluate model performance and fine-tune parameters.,0.3666,1.0,0.6833,0.6382,0.7467,Bob – ML Engineer,Good Fit,3/3 skills matched | 0 partial | 0 missing | Fit score: 100%
